location_id,lga_name,sa4_name,state_name,remoteness_area
L324,Greater Geelong,Geelong,Vic,Major Cities of Australia
L325,Adelaide Hills,Adelaide - Central and Hills,SA,Major Cities of Australia
L326,Onkaparinga,Adelaide - South,SA,Inner Regional Australia
L327,Launceston,Launceston and North East,Tas,Outer Regional Australia
L328,Indigo,Hume,Vic,Inner Regional Australia
L329,Yarra,Melbourne - Inner,Vic,Major Cities of Australia
L330,Port Phillip,Melbourne - Inner,Vic,Major Cities of Australia
L331,Waratah-Wynyard,West and North West,Tas,Outer Regional Australia
L332,Campaspe,Shepparton,Vic,Inner Regional Australia
L333,Barkly,Northern Territory - Outback,NT,Very Remote Australia
L334,Blacktown,Sydney - Parramatta,NSW,Major Cities of Australia
L335,Blayney,Central West,NSW,Inner Regional Australia
L336,Campbelltown (SA),Adelaide - Central and Hills,SA,Major Cities of Australia
L337,Latrobe (Vic.),Latrobe - Gippsland,Vic,Inner Regional Australia
L338,Palmerston,Darwin,NT,Outer Regional Australia
L339,Gunnedah,New England and North West,NSW,Outer Regional Australia
L340,Break O'Day,Launceston and North East,Tas,Outer Regional Australia
L341,Buloke,North West,Vic,Outer Regional Australia
L342,West Wimmera,North West,Vic,Outer Regional Australia
L343,Ku-ring-gai,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
L344,Casey,Melbourne - South East,Vic,Inner Regional Australia
L345,Shoalhaven,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
L346,Warrnambool,Warrnambool and South West,Vic,Inner Regional Australia
L347,Berrigan,Murray,NSW,Inner Regional Australia
L348,Warren,Far West and Orana,NSW,Remote Australia
L349,Victoria Daly,Northern Territory - Outback,NT,Very Remote Australia
L350,Moira,Shepparton,Vic,Inner Regional Australia
L351,Brisbane,Brisbane - North,Qld,Major Cities of Australia
L352,Berri Barmera,South Australia - South East,SA,Outer Regional Australia
L353,Moonee Valley,Melbourne - Inner,Vic,Major Cities of Australia
L354,Litchfield,Darwin,NT,Outer Regional Australia
L355,Greater Dandenong,Melbourne - South East,Vic,Major Cities of Australia
L356,Golden Plains,Geelong,Vic,Inner Regional Australia
L357,Toowoomba,Darling Downs - Maranoa,Qld,Outer Regional Australia
L358,Moonee Valley,Melbourne - North West,Vic,Major Cities of Australia
L359,Onkaparinga,Adelaide - South,SA,Major Cities of Australia
L360,Inner West,Sydney - Inner West,NSW,Major Cities of Australia
L361,Whyalla,South Australia - Outback,SA,Outer Regional Australia
L362,Rockhampton,Central Queensland,Qld,Outer Regional Australia
L363,Unincorporated SA,South Australia - Outback,SA,Remote Australia
L364,Gladstone,Central Queensland,Qld,Inner Regional Australia
L365,Noosa,Sunshine Coast,Qld,Inner Regional Australia
L366,Mount Isa,Queensland - Outback,Qld,Remote Australia
L367,Kingston (Vic.),Melbourne - Inner South,Vic,Major Cities of Australia
L368,Toowoomba,Darling Downs - Maranoa,Qld,Inner Regional Australia
L369,Maribyrnong,Melbourne - West,Vic,Major Cities of Australia
L370,Marion,Adelaide - South,SA,Major Cities of Australia
L371,Gold Coast,Gold Coast,Qld,Inner Regional Australia
L372,Mildura,North West,Vic,Outer Regional Australia
L373,Hornsby,Sydney - North Sydney and Hornsby,NSW,Inner Regional Australia
L374,Mansfield,Hume,Vic,Outer Regional Australia
L375,Charters Towers,Townsville,Qld,Very Remote Australia
L376,Richmond Valley,Richmond - Tweed,NSW,Inner Regional Australia
L377,Sutherland,Sydney - Sutherland,NSW,Inner Regional Australia
L378,Mid-Western Regional,Central West,NSW,Inner Regional Australia
L379,Hume,Melbourne - North West,Vic,Major Cities of Australia
L380,Newcastle,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
L381,West Tamar,Launceston and North East,Tas,Inner Regional Australia
L382,Glen Eira,Melbourne - Inner South,Vic,Major Cities of Australia
L383,Sunshine Coast,Sunshine Coast,Qld,Inner Regional Australia
L384,Nillumbik,Melbourne - North East,Vic,Major Cities of Australia
L385,Yarriambiack,North West,Vic,Remote Australia
L386,Pyrenees,Ballarat,Vic,Inner Regional Australia
L387,Unincorporated,Far West and Orana,NSW,Remote Australia
L388,Strathfield,Sydney - Inner South West,NSW,Major Cities of Australia
