date_id,day_of_week,month_name,year
D666,Tuesday,4,2018
D667,Wednesday,4,2018
D668,Friday,3,2018
D669,Monday,3,2018
D670,Saturday,3,2018
D671,Sunday,3,2018
D672,Thursday,3,2018
D673,Tuesday,3,2018
D674,Wednesday,3,2018
D675,Friday,2,2018
D676,Monday,2,2018
D677,Saturday,2,2018
D678,Sunday,2,2018
D679,Thursday,2,2018
D680,Tuesday,2,2018
D681,Wednesday,2,2018
D682,Friday,1,2018
D683,Monday,1,2018
D684,Saturday,1,2018
D685,Sunday,1,2018
D686,Thursday,1,2018
D687,Tuesday,1,2018
D688,Wednesday,1,2018
D689,Friday,12,2017
D690,Monday,12,2017
D691,Saturday,12,2017
D692,Sunday,12,2017
D693,Thursday,12,2017
D694,Tuesday,12,2017
D695,Wednesday,12,2017
D696,Friday,11,2017
D697,Monday,11,2017
D698,Saturday,11,2017
D699,Sunday,11,2017
D700,Thursday,11,2017
D701,Tuesday,11,2017
D702,Wednesday,11,2017
D703,Friday,10,2017
D704,Monday,10,2017
D705,Saturday,10,2017
D706,Sunday,10,2017
D707,Thursday,10,2017
D708,Tuesday,10,2017
D709,Wednesday,10,2017
D710,Friday,9,2017
D711,Monday,9,2017
D712,Saturday,9,2017
D713,Sunday,9,2017
D714,Thursday,9,2017
D715,Tuesday,9,2017
D716,Wednesday,9,2017
D717,Friday,8,2017
D718,Monday,8,2017
D719,Saturday,8,2017
D720,Sunday,8,2017
D721,Thursday,8,2017
D722,Tuesday,8,2017
D723,Wednesday,8,2017
D724,Friday,7,2017
D725,Monday,7,2017
D726,Saturday,7,2017
D727,Sunday,7,2017
D728,Thursday,7,2017
D729,Tuesday,7,2017
D730,Wednesday,7,2017
D731,Friday,6,2017
D732,Monday,6,2017
D733,Saturday,6,2017
D734,Sunday,6,2017
D735,Thursday,6,2017
D736,Tuesday,6,2017
D737,Wednesday,6,2017
D738,Friday,5,2017
D739,Monday,5,2017
D740,Saturday,5,2017
D741,Sunday,5,2017
D742,Thursday,5,2017
D743,Tuesday,5,2017
D744,Wednesday,5,2017
D745,Friday,4,2017
D746,Monday,4,2017
D747,Saturday,4,2017
D748,Sunday,4,2017
D749,Thursday,4,2017
D750,Tuesday,4,2017
D751,Wednesday,4,2017
D752,Friday,3,2017
D753,Monday,3,2017
D754,Saturday,3,2017
D755,Sunday,3,2017
D756,Thursday,3,2017
D757,Tuesday,3,2017
D758,Wednesday,3,2017
D759,Friday,2,2017
D760,Monday,2,2017
D761,Saturday,2,2017
D762,Sunday,2,2017
D763,Thursday,2,2017
D764,Tuesday,2,2017
D765,Wednesday,2,2017
D766,Friday,1,2017
D767,Monday,1,2017
D768,Saturday,1,2017
D769,Sunday,1,2017
D770,Thursday,1,2017
D771,Tuesday,1,2017
D772,Wednesday,1,2017
D773,Friday,12,2016
D774,Monday,12,2016
D775,Saturday,12,2016
D776,Sunday,12,2016
D777,Thursday,12,2016
D778,Tuesday,12,2016
D779,Wednesday,12,2016
D780,Friday,11,2016
D781,Monday,11,2016
D782,Saturday,11,2016
D783,Sunday,11,2016
D784,Thursday,11,2016
D785,Tuesday,11,2016
D786,Wednesday,11,2016
D787,Friday,10,2016
D788,Monday,10,2016
D789,Saturday,10,2016
D790,Sunday,10,2016
D791,Thursday,10,2016
D792,Tuesday,10,2016
D793,Wednesday,10,2016
D794,Friday,9,2016
D795,Monday,9,2016
D796,Saturday,9,2016
D797,Sunday,9,2016
D798,Thursday,9,2016
D799,Tuesday,9,2016
D800,Wednesday,9,2016
D801,Friday,8,2016
D802,Monday,8,2016
D803,Saturday,8,2016
D804,Sunday,8,2016
D805,Thursday,8,2016
D806,Tuesday,8,2016
D807,Wednesday,8,2016
D808,Friday,7,2016
D809,Monday,7,2016
D810,Saturday,7,2016
D811,Sunday,7,2016
D812,Thursday,7,2016
D813,Tuesday,7,2016
D814,Wednesday,7,2016
D815,Friday,6,2016
D816,Monday,6,2016
D817,Saturday,6,2016
D818,Sunday,6,2016
D819,Thursday,6,2016
D820,Tuesday,6,2016
D821,Wednesday,6,2016
D822,Friday,5,2016
D823,Monday,5,2016
D824,Saturday,5,2016
D825,Sunday,5,2016
D826,Thursday,5,2016
D827,Tuesday,5,2016
D828,Wednesday,5,2016
D829,Friday,4,2016
D830,Monday,4,2016
D831,Saturday,4,2016
D832,Sunday,4,2016
D833,Thursday,4,2016
D834,Tuesday,4,2016
D835,Wednesday,4,2016
D836,Friday,3,2016
D837,Monday,3,2016
D838,Saturday,3,2016
D839,Sunday,3,2016
D840,Thursday,3,2016
D841,Tuesday,3,2016
D842,Wednesday,3,2016
D843,Friday,2,2016
D844,Monday,2,2016
D845,Saturday,2,2016
D846,Sunday,2,2016
D847,Thursday,2,2016
D848,Tuesday,2,2016
D849,Wednesday,2,2016
D850,Friday,1,2016
D851,Monday,1,2016
D852,Saturday,1,2016
D853,Sunday,1,2016
D854,Thursday,1,2016
D855,Tuesday,1,2016
D856,Wednesday,1,2016
D857,Friday,12,2015
D858,Monday,12,2015
D859,Saturday,12,2015
D860,Sunday,12,2015
D861,Thursday,12,2015
D862,Tuesday,12,2015
D863,Wednesday,12,2015
D864,Friday,11,2015
D865,Monday,11,2015
D866,Saturday,11,2015
D867,Sunday,11,2015
D868,Thursday,11,2015
D869,Tuesday,11,2015
D870,Wednesday,11,2015
D871,Friday,10,2015
D872,Monday,10,2015
D873,Saturday,10,2015
D874,Sunday,10,2015
D875,Thursday,10,2015
D876,Tuesday,10,2015
